algorithm,variant,dataset,iteration,walltime_ns
load,tskit,data/tgp_chr17.trees,0,1216201967
build_sf,sf,data/tgp_chr17.trees,0,135787199549
compute_subtree_sizes,sf,data/tgp_chr17.trees,0,135937903407
compute_afs,sf,data/tgp_chr17.trees,0,214981405
compute_afs,tskit,data/tgp_chr17.trees,0,997725377
load,tskit,data/tgp_chr17.trees,1,1078493060
build_sf,sf,data/tgp_chr17.trees,1,122423701316
compute_subtree_sizes,sf,data/tgp_chr17.trees,1,122574947721
compute_afs,sf,data/tgp_chr17.trees,1,217155012
compute_afs,tskit,data/tgp_chr17.trees,1,987997594
load,tskit,data/tgp_chr17.trees,2,1090016203
build_sf,sf,data/tgp_chr17.trees,2,121361355415
compute_subtree_sizes,sf,data/tgp_chr17.trees,2,121512420619
compute_afs,sf,data/tgp_chr17.trees,2,214562339
compute_afs,tskit,data/tgp_chr17.trees,2,979953133
load,tskit,data/tgp_chr17.trees,3,1072138038
build_sf,sf,data/tgp_chr17.trees,3,122395894920
compute_subtree_sizes,sf,data/tgp_chr17.trees,3,122546639339
compute_afs,sf,data/tgp_chr17.trees,3,213074981
compute_afs,tskit,data/tgp_chr17.trees,3,1000417437
load,tskit,data/tgp_chr17.trees,4,1078874682
build_sf,sf,data/tgp_chr17.trees,4,122388840838
compute_subtree_sizes,sf,data/tgp_chr17.trees,4,122537899416
compute_afs,sf,data/tgp_chr17.trees,4,211953006
compute_afs,tskit,data/tgp_chr17.trees,4,984928174
load,tskit,data/tgp_chr17.trees,5,1074640057
build_sf,sf,data/tgp_chr17.trees,5,123961204389
compute_subtree_sizes,sf,data/tgp_chr17.trees,5,124112009359
compute_afs,sf,data/tgp_chr17.trees,5,214316286
compute_afs,tskit,data/tgp_chr17.trees,5,982804557
load,tskit,data/tgp_chr17.trees,6,1085182730
build_sf,sf,data/tgp_chr17.trees,6,123532351987
compute_subtree_sizes,sf,data/tgp_chr17.trees,6,123678133165
compute_afs,sf,data/tgp_chr17.trees,6,218712981
compute_afs,tskit,data/tgp_chr17.trees,6,988804001
load,tskit,data/tgp_chr17.trees,7,1077134058
build_sf,sf,data/tgp_chr17.trees,7,121791028200
compute_subtree_sizes,sf,data/tgp_chr17.trees,7,121941100185
compute_afs,sf,data/tgp_chr17.trees,7,208805483
compute_afs,tskit,data/tgp_chr17.trees,7,995986586
load,tskit,data/tgp_chr17.trees,8,1076853126
build_sf,sf,data/tgp_chr17.trees,8,122292365857
compute_subtree_sizes,sf,data/tgp_chr17.trees,8,122442010983
compute_afs,sf,data/tgp_chr17.trees,8,211588823
compute_afs,tskit,data/tgp_chr17.trees,8,990566500
load,tskit,data/tgp_chr17.trees,9,1073373078
build_sf,sf,data/tgp_chr17.trees,9,122647990712
compute_subtree_sizes,sf,data/tgp_chr17.trees,9,122799482404
compute_afs,sf,data/tgp_chr17.trees,9,217981738
compute_afs,tskit,data/tgp_chr17.trees,9,977579104
