algorithm,variant,dataset,revision,machine_id,iteration,walltime_ns
load,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,0,316282698
build_sf,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,0,26822744033
compute_subtree_sizes,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,0,26880643891
compute_afs,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,0,65087749
compute_afs,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,0,275946710
load,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,1,359582911
build_sf,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,1,26892308724
compute_subtree_sizes,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,1,26949390262
compute_afs,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,1,65382262
compute_afs,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,1,283306043
load,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,2,278723605
build_sf,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,2,26877900721
compute_subtree_sizes,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,2,26935459435
compute_afs,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,2,61988480
compute_afs,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,2,286624334
load,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,3,290582833
build_sf,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,3,26909703774
compute_subtree_sizes,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,3,26966116343
compute_afs,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,3,65049778
compute_afs,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,3,291514655
load,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,4,279567595
build_sf,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,4,27008554719
compute_subtree_sizes,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,4,27070851112
compute_afs,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,4,66534096
compute_afs,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,4,286366321
load,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,5,276730558
build_sf,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,5,27593538915
compute_subtree_sizes,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,5,27671322953
compute_afs,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,5,87731703
compute_afs,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,5,333133637
load,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,6,334339493
build_sf,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,6,33923687911
compute_subtree_sizes,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,6,34000467266
compute_afs,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,6,86500667
compute_afs,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,6,336967615
load,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,7,1427775725
build_sf,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,7,29075230069
compute_subtree_sizes,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,7,29143321035
compute_afs,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,7,84632214
compute_afs,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,7,336018353
load,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,8,339843291
build_sf,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,8,31732415656
compute_subtree_sizes,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,8,31898233730
compute_afs,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,8,64248727
compute_afs,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,8,293687201
load,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,9,1322722982
build_sf,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,9,27151696235
compute_subtree_sizes,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,9,27210714917
compute_afs,sf,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,9,65096808
compute_afs,tskit,data/sgdp_chr18.trees,9fda659-dirty,i10pc134,9,281644709
