algorithm,variant,dataset,iteration,walltime_ns
load,tskit,data/tgp_chr22.trees,0,932921968
build_sf,sf,data/tgp_chr22.trees,0,54269912554
compute_subtree_sizes,sf,data/tgp_chr22.trees,0,54339627307
compute_afs,sf,data/tgp_chr22.trees,0,132883823
compute_afs,tskit,data/tgp_chr22.trees,0,652401862
load,tskit,data/tgp_chr22.trees,1,933874704
build_sf,sf,data/tgp_chr22.trees,1,54212183065
compute_subtree_sizes,sf,data/tgp_chr22.trees,1,54282217662
compute_afs,sf,data/tgp_chr22.trees,1,133779116
compute_afs,tskit,data/tgp_chr22.trees,1,649714430
load,tskit,data/tgp_chr22.trees,2,918626069
build_sf,sf,data/tgp_chr22.trees,2,54044378929
compute_subtree_sizes,sf,data/tgp_chr22.trees,2,54114788071
compute_afs,sf,data/tgp_chr22.trees,2,129801707
compute_afs,tskit,data/tgp_chr22.trees,2,651371654
load,tskit,data/tgp_chr22.trees,3,933743449
build_sf,sf,data/tgp_chr22.trees,3,54179248891
compute_subtree_sizes,sf,data/tgp_chr22.trees,3,54250739275
compute_afs,sf,data/tgp_chr22.trees,3,135597699
compute_afs,tskit,data/tgp_chr22.trees,3,660180074
load,tskit,data/tgp_chr22.trees,4,915668968
build_sf,sf,data/tgp_chr22.trees,4,54086037641
compute_subtree_sizes,sf,data/tgp_chr22.trees,4,54156447793
compute_afs,sf,data/tgp_chr22.trees,4,138817969
compute_afs,tskit,data/tgp_chr22.trees,4,650496216
load,tskit,data/tgp_chr22.trees,5,931186922
build_sf,sf,data/tgp_chr22.trees,5,54331885444
compute_subtree_sizes,sf,data/tgp_chr22.trees,5,54403004364
compute_afs,sf,data/tgp_chr22.trees,5,135141875
compute_afs,tskit,data/tgp_chr22.trees,5,659370708
load,tskit,data/tgp_chr22.trees,6,912563934
build_sf,sf,data/tgp_chr22.trees,6,54546936073
compute_subtree_sizes,sf,data/tgp_chr22.trees,6,54618265946
compute_afs,sf,data/tgp_chr22.trees,6,136798635
compute_afs,tskit,data/tgp_chr22.trees,6,653597028
load,tskit,data/tgp_chr22.trees,7,931079516
build_sf,sf,data/tgp_chr22.trees,7,54214552645
compute_subtree_sizes,sf,data/tgp_chr22.trees,7,54286295965
compute_afs,sf,data/tgp_chr22.trees,7,131151075
compute_afs,tskit,data/tgp_chr22.trees,7,659288309
load,tskit,data/tgp_chr22.trees,8,930981386
build_sf,sf,data/tgp_chr22.trees,8,54295214675
compute_subtree_sizes,sf,data/tgp_chr22.trees,8,54366823201
compute_afs,sf,data/tgp_chr22.trees,8,141510695
compute_afs,tskit,data/tgp_chr22.trees,8,650104676
load,tskit,data/tgp_chr22.trees,9,919235962
build_sf,sf,data/tgp_chr22.trees,9,54255018705
compute_subtree_sizes,sf,data/tgp_chr22.trees,9,54327169009
compute_afs,sf,data/tgp_chr22.trees,9,137640165
compute_afs,tskit,data/tgp_chr22.trees,9,659650696
