algorithm,variant,dataset,iteration,walltime_ns
load,tskit,data/tgp_chr8.trees,0,53087688
build_sf,sf,data/tgp_chr8.trees,0,8243234714
compute_subtree_sizes,sf,data/tgp_chr8.trees,0,8250005678
compute_afs,sf,data/tgp_chr8.trees,0,12721378
compute_afs,tskit,data/tgp_chr8.trees,0,58142091
load,tskit,data/tgp_chr8.trees,1,52988087
build_sf,sf,data/tgp_chr8.trees,1,8184159483
compute_subtree_sizes,sf,data/tgp_chr8.trees,1,8195203920
compute_afs,sf,data/tgp_chr8.trees,1,15611374
compute_afs,tskit,data/tgp_chr8.trees,1,56058555
load,tskit,data/tgp_chr8.trees,2,52765194
build_sf,sf,data/tgp_chr8.trees,2,8187215143
compute_subtree_sizes,sf,data/tgp_chr8.trees,2,8196490428
compute_afs,sf,data/tgp_chr8.trees,2,13971404
compute_afs,tskit,data/tgp_chr8.trees,2,57265600
load,tskit,data/tgp_chr8.trees,3,53675885
build_sf,sf,data/tgp_chr8.trees,3,8189934719
compute_subtree_sizes,sf,data/tgp_chr8.trees,3,8201139467
compute_afs,sf,data/tgp_chr8.trees,3,15783295
compute_afs,tskit,data/tgp_chr8.trees,3,55526129
load,tskit,data/tgp_chr8.trees,4,51647370
build_sf,sf,data/tgp_chr8.trees,4,8191192955
compute_subtree_sizes,sf,data/tgp_chr8.trees,4,8198503226
compute_afs,sf,data/tgp_chr8.trees,4,15443231
compute_afs,tskit,data/tgp_chr8.trees,4,55831942
load,tskit,data/tgp_chr8.trees,5,53023378
build_sf,sf,data/tgp_chr8.trees,5,8195641292
compute_subtree_sizes,sf,data/tgp_chr8.trees,5,8206312474
compute_afs,sf,data/tgp_chr8.trees,5,15377781
compute_afs,tskit,data/tgp_chr8.trees,5,55392257
load,tskit,data/tgp_chr8.trees,6,52594852
build_sf,sf,data/tgp_chr8.trees,6,8207166966
compute_subtree_sizes,sf,data/tgp_chr8.trees,6,8217738547
compute_afs,sf,data/tgp_chr8.trees,6,14055575
compute_afs,tskit,data/tgp_chr8.trees,6,55508398
load,tskit,data/tgp_chr8.trees,7,52253158
build_sf,sf,data/tgp_chr8.trees,7,8184100533
compute_subtree_sizes,sf,data/tgp_chr8.trees,7,8191980701
compute_afs,sf,data/tgp_chr8.trees,7,12839219
compute_afs,tskit,data/tgp_chr8.trees,7,55577599
load,tskit,data/tgp_chr8.trees,8,51690240
build_sf,sf,data/tgp_chr8.trees,8,8199877650
compute_subtree_sizes,sf,data/tgp_chr8.trees,8,8211062059
compute_afs,sf,data/tgp_chr8.trees,8,15377631
compute_afs,tskit,data/tgp_chr8.trees,8,55758881
load,tskit,data/tgp_chr8.trees,9,52922306
build_sf,sf,data/tgp_chr8.trees,9,8191531798
compute_subtree_sizes,sf,data/tgp_chr8.trees,9,8201909656
compute_afs,sf,data/tgp_chr8.trees,9,14972956
compute_afs,tskit,data/tgp_chr8.trees,9,57206669
