algorithm,variant,dataset,iteration,walltime_ns
load,tskit,data/tgp_chr19.trees,0,800699155
build_sf,sf,data/tgp_chr19.trees,0,84913932350
compute_subtree_sizes,sf,data/tgp_chr19.trees,0,85028177056
compute_afs,sf,data/tgp_chr19.trees,0,160676490
compute_afs,tskit,data/tgp_chr19.trees,0,707127648
load,tskit,data/tgp_chr19.trees,1,793211269
build_sf,sf,data/tgp_chr19.trees,1,84108323105
compute_subtree_sizes,sf,data/tgp_chr19.trees,1,84222769152
compute_afs,sf,data/tgp_chr19.trees,1,157791401
compute_afs,tskit,data/tgp_chr19.trees,1,702699794
load,tskit,data/tgp_chr19.trees,2,794305584
build_sf,sf,data/tgp_chr19.trees,2,83617192308
compute_subtree_sizes,sf,data/tgp_chr19.trees,2,83731177198
compute_afs,sf,data/tgp_chr19.trees,2,159230168
compute_afs,tskit,data/tgp_chr19.trees,2,705063036
load,tskit,data/tgp_chr19.trees,3,791049174
build_sf,sf,data/tgp_chr19.trees,3,83997927846
compute_subtree_sizes,sf,data/tgp_chr19.trees,3,84112806256
compute_afs,sf,data/tgp_chr19.trees,3,153588285
compute_afs,tskit,data/tgp_chr19.trees,3,708274300
load,tskit,data/tgp_chr19.trees,4,795963799
build_sf,sf,data/tgp_chr19.trees,4,83398516521
compute_subtree_sizes,sf,data/tgp_chr19.trees,4,83512518779
compute_afs,sf,data/tgp_chr19.trees,4,157140219
compute_afs,tskit,data/tgp_chr19.trees,4,700177062
load,tskit,data/tgp_chr19.trees,5,792680051
build_sf,sf,data/tgp_chr19.trees,5,83201266253
compute_subtree_sizes,sf,data/tgp_chr19.trees,5,83315346082
compute_afs,sf,data/tgp_chr19.trees,5,157261989
compute_afs,tskit,data/tgp_chr19.trees,5,699725393
load,tskit,data/tgp_chr19.trees,6,790766903
build_sf,sf,data/tgp_chr19.trees,6,82819260901
compute_subtree_sizes,sf,data/tgp_chr19.trees,6,82931825760
compute_afs,sf,data/tgp_chr19.trees,6,159987123
compute_afs,tskit,data/tgp_chr19.trees,6,700239315
load,tskit,data/tgp_chr19.trees,7,783282705
build_sf,sf,data/tgp_chr19.trees,7,84356701681
compute_subtree_sizes,sf,data/tgp_chr19.trees,7,84477087777
compute_afs,sf,data/tgp_chr19.trees,7,157381219
compute_afs,tskit,data/tgp_chr19.trees,7,706905746
load,tskit,data/tgp_chr19.trees,8,791418553
build_sf,sf,data/tgp_chr19.trees,8,83632911099
compute_subtree_sizes,sf,data/tgp_chr19.trees,8,83746645622
compute_afs,sf,data/tgp_chr19.trees,8,158356051
compute_afs,tskit,data/tgp_chr19.trees,8,704813346
load,tskit,data/tgp_chr19.trees,9,789094831
build_sf,sf,data/tgp_chr19.trees,9,83776576209
compute_subtree_sizes,sf,data/tgp_chr19.trees,9,83890907319
compute_afs,sf,data/tgp_chr19.trees,9,162925837
compute_afs,tskit,data/tgp_chr19.trees,9,697492863
