algorithm,variant,dataset,iteration,walltime_ns
load,tskit,data/tgp_chr20.trees,0,753719745
build_sf,sf,data/tgp_chr20.trees,0,99190774215
compute_subtree_sizes,sf,data/tgp_chr20.trees,0,99298092396
compute_afs,sf,data/tgp_chr20.trees,0,151173075
compute_afs,tskit,data/tgp_chr20.trees,0,684611070
load,tskit,data/tgp_chr20.trees,1,754938621
build_sf,sf,data/tgp_chr20.trees,1,96433465138
compute_subtree_sizes,sf,data/tgp_chr20.trees,1,96540718654
compute_afs,sf,data/tgp_chr20.trees,1,150039289
compute_afs,tskit,data/tgp_chr20.trees,1,687074601
load,tskit,data/tgp_chr20.trees,2,709727976
build_sf,sf,data/tgp_chr20.trees,2,96391501061
compute_subtree_sizes,sf,data/tgp_chr20.trees,2,96498041436
compute_afs,sf,data/tgp_chr20.trees,2,155770196
compute_afs,tskit,data/tgp_chr20.trees,2,686222545
load,tskit,data/tgp_chr20.trees,3,717239217
build_sf,sf,data/tgp_chr20.trees,3,96482903416
compute_subtree_sizes,sf,data/tgp_chr20.trees,3,96587036622
compute_afs,sf,data/tgp_chr20.trees,3,155174543
compute_afs,tskit,data/tgp_chr20.trees,3,681571383
load,tskit,data/tgp_chr20.trees,4,750032415
build_sf,sf,data/tgp_chr20.trees,4,97399297263
compute_subtree_sizes,sf,data/tgp_chr20.trees,4,97503889136
compute_afs,sf,data/tgp_chr20.trees,4,150806786
compute_afs,tskit,data/tgp_chr20.trees,4,683142971
load,tskit,data/tgp_chr20.trees,5,752390069
build_sf,sf,data/tgp_chr20.trees,5,98522738252
compute_subtree_sizes,sf,data/tgp_chr20.trees,5,98628627094
compute_afs,sf,data/tgp_chr20.trees,5,157774386
compute_afs,tskit,data/tgp_chr20.trees,5,695162211
load,tskit,data/tgp_chr20.trees,6,751285038
build_sf,sf,data/tgp_chr20.trees,6,96296114373
compute_subtree_sizes,sf,data/tgp_chr20.trees,6,96402519247
compute_afs,sf,data/tgp_chr20.trees,6,150519256
compute_afs,tskit,data/tgp_chr20.trees,6,683675080
load,tskit,data/tgp_chr20.trees,7,739947995
build_sf,sf,data/tgp_chr20.trees,7,96134183055
compute_subtree_sizes,sf,data/tgp_chr20.trees,7,96241493856
compute_afs,sf,data/tgp_chr20.trees,7,155627824
compute_afs,tskit,data/tgp_chr20.trees,7,677728906
load,tskit,data/tgp_chr20.trees,8,754751653
build_sf,sf,data/tgp_chr20.trees,8,96083798421
compute_subtree_sizes,sf,data/tgp_chr20.trees,8,96190079905
compute_afs,sf,data/tgp_chr20.trees,8,146911140
compute_afs,tskit,data/tgp_chr20.trees,8,683946391
load,tskit,data/tgp_chr20.trees,9,747209642
build_sf,sf,data/tgp_chr20.trees,9,96251803614
compute_subtree_sizes,sf,data/tgp_chr20.trees,9,96363125930
compute_afs,sf,data/tgp_chr20.trees,9,147777305
compute_afs,tskit,data/tgp_chr20.trees,9,685894577
